comparison,slope_difference,SE,z,p
Low non-zero dose - Zero dose,0.03727259594890842,0.17103992463240736,0.21791751855020575,0.827493377318645
High non-zero dose - Zero dose,-0.42901553647721774,0.18921762306197276,-2.2673127879674615,0.02337112482400494
High non-zero dose - Low non-zero dose,-0.46628813242612616,0.20973784231736084,-2.2231950480379745,0.026202650610990252
