cohort,session,Left_Hippocampus_N,Left_Hippocampus_Mean,Left_Hippocampus_Median,Left_Hippocampus_SD,Left_Hippocampus_Mean_minus_1SD,Left_Hippocampus_Mean_plus_1SD,Left_Hippocampus_Mean_minus_2SD,Left_Hippocampus_Mean_plus_2SD,Right_Hippocampus_N,Right_Hippocampus_Mean,Right_Hippocampus_Median,Right_Hippocampus_SD,Right_Hippocampus_Mean_minus_1SD,Right_Hippocampus_Mean_plus_1SD,Right_Hippocampus_Mean_minus_2SD,Right_Hippocampus_Mean_plus_2SD,Left_Thalamus_N,Left_Thalamus_Mean,Left_Thalamus_Median,Left_Thalamus_SD,Left_Thalamus_Mean_minus_1SD,Left_Thalamus_Mean_plus_1SD,Left_Thalamus_Mean_minus_2SD,Left_Thalamus_Mean_plus_2SD,Right_Thalamus_N,Right_Thalamus_Mean,Right_Thalamus_Median,Right_Thalamus_SD,Right_Thalamus_Mean_minus_1SD,Right_Thalamus_Mean_plus_1SD,Right_Thalamus_Mean_minus_2SD,Right_Thalamus_Mean_plus_2SD
I,sessie1,186.0,4310.010806451613,4339.4415,399.44354916905735,3910.567257282555,4709.45435562067,3511.1237081134977,5108.897904789727,186.0,4373.070672043011,4338.1375,407.8485293476263,3965.2221426953843,4780.919201390637,3557.3736133477582,5188.767730738264,186.0,7660.516752688171,7669.2555,730.5188902870107,6929.997862401161,8391.035642975183,6199.47897211415,9121.554533262193,186.0,7133.448360215054,7091.091,673.6752499024343,6459.77311031262,7807.123610117488,5786.097860410186,8480.798860019922
I,sessie2,33.0,4246.672121212121,4228.409,357.4069423436292,3889.2651788684916,4604.0790635557505,3531.8582365248626,4961.48600589938,33.0,4294.797121212122,4196.125,388.26936949162285,3906.527751720499,4683.066490703744,3518.258382228876,5071.335860195368,33.0,7653.907303030302,7536.014,821.1882582661271,6832.719044764174,8475.095561296428,6011.530786498048,9296.283819562555,33.0,7171.477090909091,7075.177,778.214947902625,6393.262143006466,7949.692038811716,5615.047195103842,8727.90698671434
I,sessie3,113.0,4338.976247787611,4333.558,403.01709471381366,3935.9591530737976,4741.993342501425,3532.942058359984,5145.010437215238,113.0,4406.996486725664,4409.307,409.16151033077733,3997.834976394887,4816.157997056442,3588.6734660641096,5225.319507387218,113.0,7628.920407079647,7561.903,712.9715493779693,6915.948857701677,8341.891956457615,6202.977308323709,9054.863505835585,113.0,7175.980973451327,7226.94,673.9156234239706,6502.0653500273565,7849.896596875298,5828.149726603386,8523.812220299269
II,sessie1,44.0,4365.091613636363,4367.693,382.1212845635816,3982.9703290727816,4747.212898199945,3600.8490445091998,5129.334182763526,44.0,4495.708795454546,4358.439,397.4619933007243,4098.246802153822,4893.17078875527,3700.7848088530973,5290.6327820559945,44.0,7598.389045454544,7574.458500000001,588.2999647723211,7010.0890806822235,8186.689010226865,6421.789115909902,8774.988974999187,44.0,7024.5446136363635,6955.7135,570.6467539754003,6453.897859660963,7595.191367611764,5883.251105685563,8165.838121587164
III,sessie1,35.0,4365.9701428571425,4337.875,457.8836184814384,3908.086524375704,4823.853761338581,3450.2029058942658,5281.73737982002,35.0,4495.885285714286,4521.909,467.40362856885025,4028.4816571454353,4963.2889142831355,3561.078028576585,5430.692542851986,35.0,7741.539057142856,7618.904,825.5157249489537,6916.023332193902,8567.05478209181,6090.507607244948,9392.570507040764,35.0,7225.551314285715,7082.578,768.8501701477869,6456.701144137928,7994.401484433502,5687.850973990142,8763.251654581289
IV,sessie1,12.0,4483.481833333333,4588.539000000001,494.44492475848546,3989.036908574848,4977.926758091819,3494.5919838163622,5472.371682850304,12.0,4510.879333333333,4697.985500000001,551.8645909327155,3959.0147424006177,5062.743924266048,3407.150151467902,5614.6085151987645,12.0,8060.745416666666,8034.450000000001,943.3812174952449,7117.364199171421,9004.12663416191,6173.982981676176,9947.507851657156,12.0,7477.0822499999995,7503.0945,814.2317558122585,6662.850494187741,8291.314005812257,5848.618738375482,9105.545761624517
