analysis,structure,rois_included,n_subjects,n_features_in_pca,PC1_explained_variance_ratio
non_volume,Hippocampus,Left_Hippocampus;Right_Hippocampus,96,36,0.35928902677938224
non_volume,Thalamus,Left_Thalamus;Right_Thalamus,96,36,0.26904454191142885
