feature,loading_PC1,abs_loading_PC1
Right_Hippocampus_original_firstorder_Energy,0.2954946133579713,0.2954946133579713
Right_Hippocampus_original_firstorder_TotalEnergy,0.29549461335797117,0.29549461335797117
Right_Hippocampus_original_shape_MeshVolume,0.26858340759118005,0.26858340759118005
Right_Hippocampus_original_shape_VoxelVolume,0.2685032307293314,0.2685032307293314
Right_Hippocampus_original_shape_SurfaceArea,0.25167473027466436,0.25167473027466436
Right_Hippocampus_original_firstorder_90Percentile,0.21324643129486473,0.21324643129486473
Right_Hippocampus_original_firstorder_Maximum,0.20931722801818306,0.20931722801818306
Right_Hippocampus_original_shape_MinorAxisLength,0.2073655147381659,0.2073655147381659
Right_Hippocampus_original_firstorder_Range,0.20526874672886744,0.20526874672886744
Right_Hippocampus_original_firstorder_MeanAbsoluteDeviation,0.20404954080643595,0.20404954080643595
Right_Hippocampus_original_firstorder_RobustMeanAbsoluteDeviation,0.20301389763873687,0.20301389763873687
Right_Hippocampus_original_firstorder_InterquartileRange,0.19996030645944357,0.19996030645944357
Right_Hippocampus_original_firstorder_Variance,0.18849646062052827,0.18849646062052827
Right_Hippocampus_original_firstorder_Entropy,0.18038746009953457,0.18038746009953457
Right_Hippocampus_original_shape_SurfaceVolumeRatio,-0.17532358282116206,0.17532358282116206
Right_Hippocampus_original_firstorder_Uniformity,-0.1660279170319273,0.1660279170319273
Right_Hippocampus_original_shape_LeastAxisLength,0.16539751696706637,0.16539751696706637
Right_Hippocampus_original_firstorder_RootMeanSquared,0.15414063681972423,0.15414063681972423
Right_Hippocampus_original_shape_Maximum2DDiameterSlice,0.1425040407172359,0.1425040407172359
Right_Hippocampus_original_shape_Maximum2DDiameterRow,0.1397988073966206,0.1397988073966206
Right_Hippocampus_original_shape_Maximum2DDiameterColumn,0.13431597044443772,0.13431597044443772
Right_Hippocampus_original_shape_Maximum3DDiameter,0.125224128076683,0.125224128076683
Right_Hippocampus_original_firstorder_Mean,0.12074739349636111,0.12074739349636111
Right_Hippocampus_original_firstorder_Skewness,0.11515175159290639,0.11515175159290639
Right_Hippocampus_original_shape_MajorAxisLength,0.11273671973451205,0.11273671973451205
Right_Hippocampus_original_firstorder_Median,0.0888170355456546,0.0888170355456546
Right_Hippocampus_original_firstorder_Kurtosis,0.08876223492449596,0.08876223492449596
Right_Hippocampus_original_shape_Elongation,0.05999059775849121,0.05999059775849121
Right_Hippocampus_original_shape_Sphericity,-0.05882278736991782,0.05882278736991782
Right_Hippocampus_original_firstorder_10Percentile,-0.056911784419202686,0.056911784419202686
Right_Hippocampus_original_firstorder_Minimum,-0.049868402347382546,0.049868402347382546
Right_Hippocampus_original_shape_Flatness,0.01928662169846172,0.01928662169846172
