roi,n,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_q_fdr,spearman_q_fdr
Left_Thalamus,96,-0.12019275931292481,0.24343200261980733,-0.13201473105061787,0.1997897578370178,0.7934292414980832,0.5551936802960104
Right_Thalamus,96,-0.02707577268145528,0.7934292414980832,-0.11192981352022344,0.2775968401480052,0.7934292414980832,0.5551936802960104
Right_Hippocampus,96,0.04768299579303924,0.6445557223877237,-0.06502984327855656,0.5290348133773288,0.7934292414980832,0.7053797511697718
Left_Hippocampus,96,0.04786883546083066,0.6432649914642723,-0.0018636215495639109,0.9856224936598139,0.7934292414980832,0.9856224936598139
