analysis,roi,volume_pre_col,volume_delta_col,n,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_q_fdr,spearman_q_fdr
shape_only,Left_Thalamus,Left_Thalamus_original_shape_MeshVolume_pre,Left_Thalamus_original_shape_MeshVolume_delta,96,0.8888487944338861,1.2689178060202798e-33,0.8441264243081932,3.4552291278684715e-27,5.075671224081119e-33,1.3820916511473886e-26
shape_only,Left_Hippocampus,Left_Hippocampus_original_shape_MeshVolume_pre,Left_Hippocampus_original_shape_MeshVolume_delta,96,0.8133046020059926,7.817855494873147e-24,0.7765328269126424,1.4592136029089156e-20,1.0423807326497528e-23,2.918427205817831e-20
shape_only,Right_Thalamus,Right_Thalamus_original_shape_MeshVolume_pre,Right_Thalamus_original_shape_MeshVolume_delta,96,0.8250971730908374,4.869810990988164e-25,0.7211475854584916,1.1699415509256755e-16,9.739621981976328e-25,1.5599220679009006e-16
shape_only,Right_Hippocampus,Right_Hippocampus_original_shape_MeshVolume_pre,Right_Hippocampus_original_shape_MeshVolume_delta,96,0.7505988768718914,1.3163498802643217e-18,0.6822707542051003,1.9453978820029357e-14,1.3163498802643217e-18,1.9453978820029357e-14
