analysis,structure,rois_included,n_subjects,n_features_in_pca,PC1_explained_variance_ratio
shape_only,Hippocampus,Left_Hippocampus;Right_Hippocampus,96,28,0.3901890198247897
shape_only,Thalamus,Left_Thalamus;Right_Thalamus,96,28,0.49815715535079186
