analysis,structure,rois_included,n,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_q_fdr,spearman_q_fdr
shape_only,Thalamus,Left_Thalamus;Right_Thalamus,96,-0.040798545313642215,0.6930861219857425,-0.11694401036867273,0.25650044162468333,0.8730391946423506,0.5130008832493667
shape_only,Hippocampus,Left_Hippocampus;Right_Hippocampus,96,-0.016524800254690525,0.8730391946423506,-0.04960749588914652,0.6312410047638752,0.8730391946423506,0.6312410047638752
