analysis,structure,roi_volume_side,volume_pre_col,volume_delta_col,n,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_q_fdr,spearman_q_fdr
shape_only,Thalamus,Left_Thalamus,Left_Thalamus_original_shape_MeshVolume_pre,Left_Thalamus_original_shape_MeshVolume_delta,96,0.8058827128190386,4.064119512302595e-23,0.7681090613130765,6.713840543491388e-20,1.625647804921038e-22,2.685536217396555e-19
shape_only,Thalamus,Right_Thalamus,Right_Thalamus_original_shape_MeshVolume_pre,Right_Thalamus_original_shape_MeshVolume_delta,96,0.7879797807037218,1.6434637917472953e-21,0.7090341833966359,6.2957040383455e-16,3.2869275834945907e-21,1.2591408076691e-15
shape_only,Hippocampus,Left_Hippocampus,Left_Hippocampus_original_shape_MeshVolume_pre,Left_Hippocampus_original_shape_MeshVolume_delta,96,0.6782315861147544,3.164181914470594e-14,0.652685838307108,5.787870561448719e-13,4.2189092192941254e-14,7.717160748598293e-13
shape_only,Hippocampus,Right_Hippocampus,Right_Hippocampus_original_shape_MeshVolume_pre,Right_Hippocampus_original_shape_MeshVolume_delta,96,0.6616307274821014,2.1600755821880402e-13,0.625990233315247,9.097703063099869e-12,2.1600755821880402e-13,9.097703063099869e-12
