term,beta,p_value,std_error,z_value
Intercept,0.899798136848782,0.001771462675075568,0.2878348447647715,3.126091761350603
C(sex)[T.2],-1.4529503648217967,0.00030425057932098257,0.4022950294920835,-3.6116537821911825
time,-0.13475731400591393,0.07017211863981529,0.07441874270484747,-1.8107980477495509
vwrec_c,0.16265350918689425,0.15132984660374932,0.11335924264128512,1.4348499989682915
time:vwrec_c,-0.030977848296783166,0.5190683095349025,0.04804389163147942,-0.644782244835591
age_c,-0.046772229707301424,0.5081598214247564,0.07068433360525296,-0.6617057461206016
BrainSegVol_c,6.0892810556305024e-05,0.0,1.5830401337409553e-06,38.4657402288383
Group Var,9.988136138472951,3.217396365280781e-06,2.1450201520034287,4.656429977659709
