dose_level,dose_xtc,dose_xtc_c,time_slope,SE,z,p
Low dose (-1 SD),-0.26274411638452067,-0.9381733895621374,0.06068817339405941,0.10280244238527812,0.5903378556573116,0.5549641647334371
Mean dose,0.6754292731776167,0.0,-0.1344949896714715,0.07260338616648605,-1.8524616656730373,0.06395955736092307
High dose (+1 SD),1.613602662739754,0.9381733895621372,-0.3296781527370024,0.10281726049007568,-3.206447547479873,0.0013438480194469804
