dose_group,time_slope,SE,z,p
Zero dose,-0.05486335459616165,0.10261289142486194,-0.5346633725484212,0.592882653395967
Low non-zero dose,-0.017590758647253228,0.13683893259564556,-0.12855083208835988,0.8977130736920058
High non-zero dose,-0.4838788910733794,0.15897687439601438,-3.0437061548211597,0.0023368326940909068
