roi,delta_feature,feature_name,n,pearson_r,pearson_p,spearman_rho,spearman_p,spearman_q_fdr,pearson_q_fdr
Right_Hippocampus,Right_Hippocampus_original_firstorder_RobustMeanAbsoluteDeviation_delta,original_firstorder_RobustMeanAbsoluteDeviation,96,0.10092900636122158,0.3278540510318515,0.09496030861796788,0.35741020934488543,0.9730031811318856,0.9598185392784896
Right_Hippocampus,Right_Hippocampus_original_firstorder_RootMeanSquared_delta,original_firstorder_RootMeanSquared,96,0.14812391429908164,0.1497942409861252,0.03643555942751178,0.7245122606567158,0.9730031811318856,0.9598185392784896
Right_Hippocampus,Right_Hippocampus_original_firstorder_Skewness_delta,original_firstorder_Skewness,96,-0.07428160882492472,0.4719753265185173,-0.13690234228437984,0.18349711802260327,0.9730031811318856,0.9598185392784896
Right_Hippocampus,Right_Hippocampus_original_firstorder_TotalEnergy_delta,original_firstorder_TotalEnergy,96,0.039333181885039814,0.7035862855931132,-0.059966418691062146,0.561662040939557,0.9730031811318856,0.9598185392784896
Right_Hippocampus,Right_Hippocampus_original_firstorder_Uniformity_delta,original_firstorder_Uniformity,96,-0.061499387676243425,0.5516837399513785,-0.02640013319646386,0.7984732506344716,0.9730031811318856,0.9598185392784896
Right_Hippocampus,Right_Hippocampus_original_firstorder_Variance_delta,original_firstorder_Variance,96,0.04721539800557698,0.6478080362284908,-0.026948670860109082,0.7943774821738263,0.9730031811318856,0.9598185392784896
Right_Hippocampus,Right_Hippocampus_original_shape_Flatness_delta,original_shape_Flatness,96,-0.11205025317667243,0.2770768677537623,-0.10782984611118283,0.2956878937119544,0.9730031811318856,0.9598185392784896
Right_Hippocampus,Right_Hippocampus_original_shape_LeastAxisLength_delta,original_shape_LeastAxisLength,96,-0.10624794735177327,0.3028710821522343,-0.12271772090524621,0.23359832409781095,0.9730031811318856,0.9598185392784896
Right_Hippocampus,Right_Hippocampus_original_shape_Maximum2DDiameterColumn_delta,original_shape_Maximum2DDiameterColumn,96,0.0906819218196307,0.3795796544041966,0.022356729328129335,0.8288257161692327,0.9730031811318856,0.9598185392784896
Right_Hippocampus,Right_Hippocampus_original_shape_Sphericity_delta,original_shape_Sphericity,96,-0.09227847830444033,0.37121122189648315,-0.10842057897972383,0.2930344772889336,0.9730031811318856,0.9598185392784896
Right_Hippocampus,Right_Hippocampus_original_shape_SurfaceArea_delta,original_shape_SurfaceArea,96,-0.0964259233082903,0.35000414308622246,-0.1268950461899291,0.21794423468621715,0.9730031811318856,0.9598185392784896
Right_Thalamus,Right_Thalamus_original_firstorder_10Percentile_delta,original_firstorder_10Percentile,96,-0.05982141528881774,0.5626103135633017,-0.07124153123659191,0.49034826274201526,0.9730031811318856,0.9598185392784896
Right_Thalamus,Right_Thalamus_original_firstorder_90Percentile_delta,original_firstorder_90Percentile,96,0.1058841818027756,0.30453890215862794,0.1260640789933824,0.22099751873009665,0.9730031811318856,0.9598185392784896
Right_Thalamus,Right_Thalamus_original_firstorder_Energy_delta,original_firstorder_Energy,96,-0.039015239549106906,0.7058719671351311,-0.11593835798532316,0.2606411788409864,0.9730031811318856,0.9598185392784896
Right_Thalamus,Right_Thalamus_original_firstorder_InterquartileRange_delta,original_firstorder_InterquartileRange,96,0.03974439614735402,0.7006339804269235,0.10043857768939919,0.3302220113602551,0.9730031811318856,0.9598185392784896
Right_Thalamus,Right_Thalamus_original_firstorder_Kurtosis_delta,original_firstorder_Kurtosis,96,-0.06279766063836371,0.5433006969486893,-0.10055820580080892,0.3296434031256573,0.9730031811318856,0.9598185392784896
Right_Thalamus,Right_Thalamus_original_firstorder_MeanAbsoluteDeviation_delta,original_firstorder_MeanAbsoluteDeviation,96,0.08009806285783735,0.4378879543881311,0.11083977072708226,0.2823325989963207,0.9730031811318856,0.9598185392784896
Right_Thalamus,Right_Thalamus_original_firstorder_Median_delta,original_firstorder_Median,96,-0.04355339737875913,0.6735035977323875,-0.03851770982426338,0.7094539377458562,0.9730031811318856,0.9598185392784896
Right_Thalamus,Right_Thalamus_original_firstorder_RobustMeanAbsoluteDeviation_delta,original_firstorder_RobustMeanAbsoluteDeviation,96,0.1182844444425048,0.25105147069282313,0.18394296320903264,0.07281354001995581,0.9730031811318856,0.9598185392784896
Right_Thalamus,Right_Thalamus_original_firstorder_TotalEnergy_delta,original_firstorder_TotalEnergy,96,-0.039015239549106906,0.7058719671351311,-0.11593835798532316,0.2606411788409864,0.9730031811318856,0.9598185392784896
Right_Thalamus,Right_Thalamus_original_shape_Flatness_delta,original_shape_Flatness,96,-0.10962634668618054,0.2876674363564134,-0.10843464404802243,0.292971492985836,0.9730031811318856,0.9598185392784896
Right_Thalamus,Right_Thalamus_original_shape_LeastAxisLength_delta,original_shape_LeastAxisLength,96,-0.10487812663271272,0.30918272158133564,-0.12418752054244946,0.22800337966405437,0.9730031811318856,0.9598185392784896
Right_Thalamus,Right_Thalamus_original_shape_MajorAxisLength_delta,original_shape_MajorAxisLength,96,0.05218369247529016,0.6136008140267031,0.03960723232884508,0.7016182536598357,0.9730031811318856,0.9598185392784896
Right_Thalamus,Right_Thalamus_original_shape_MinorAxisLength_delta,original_shape_MinorAxisLength,96,0.04580351900526945,0.657668173088719,-0.06661216346214854,0.5190370707603345,0.9730031811318856,0.9598185392784896
Right_Thalamus,Right_Thalamus_original_shape_SurfaceArea_delta,original_shape_SurfaceArea,96,0.0758606251595716,0.4625818102677914,-0.06218869948224024,0.5472250236356506,0.9730031811318856,0.9598185392784896
Left_Hippocampus,Left_Hippocampus_original_firstorder_10Percentile_delta,original_firstorder_10Percentile,96,-0.03122118141376208,0.7626747127270694,-0.048230047350681746,0.6407592608739607,0.9730031811318856,0.9638296846025831
Left_Hippocampus,Left_Hippocampus_original_firstorder_RobustMeanAbsoluteDeviation_delta,original_firstorder_RobustMeanAbsoluteDeviation,96,0.021071207053611735,0.8385309137079533,0.03316543104808832,0.7483732769113647,0.9730031811318856,0.9638296846025831
Left_Hippocampus,Left_Hippocampus_original_shape_Flatness_delta,original_shape_Flatness,96,-0.03289650592785579,0.7503464806779756,-0.07049412231256091,0.4949225321391417,0.9730031811318856,0.9638296846025831
Left_Thalamus,Left_Thalamus_original_shape_Flatness_delta,original_shape_Flatness,96,-0.015513775598983995,0.880747906418249,0.013249294337277012,0.898053120210804,0.9730031811318856,0.9638296846025831
Left_Thalamus,Left_Thalamus_original_shape_MinorAxisLength_delta,original_shape_MinorAxisLength,96,0.023229334623241477,0.8222524059491432,-0.026983833530855574,0.7941151217692238,0.9730031811318856,0.9638296846025831
Left_Thalamus,Left_Thalamus_original_shape_Sphericity_delta,original_shape_Sphericity,96,-0.017248501169783357,0.8675284580255067,0.011498193334101865,0.9114682891480815,0.9730031811318856,0.9638296846025831
Right_Hippocampus,Right_Hippocampus_original_firstorder_10Percentile_delta,original_firstorder_10Percentile,96,0.019384569898149878,0.8513008942859557,0.025032603765600892,0.8087077492116688,0.9730031811318856,0.9638296846025831
Right_Hippocampus,Right_Hippocampus_original_shape_MajorAxisLength_delta,original_shape_MajorAxisLength,96,0.02277487397454016,0.8256743434633693,-0.028031681119100944,0.7863074217471728,0.9730031811318856,0.9638296846025831
Right_Hippocampus,Right_Hippocampus_original_shape_Maximum2DDiameterRow_delta,original_shape_Maximum2DDiameterRow,96,-0.031068866732725922,0.763798548434849,-0.06293866830203675,0.5423939714279951,0.9730031811318856,0.9638296846025831
Right_Hippocampus,Right_Hippocampus_original_shape_Maximum2DDiameterSlice_delta,original_shape_Maximum2DDiameterSlice,96,0.023033734582177938,0.8237248054047482,0.05147892599092281,0.6184053560394029,0.9730031811318856,0.9638296846025831
Right_Hippocampus,Right_Hippocampus_original_shape_Maximum3DDiameter_delta,original_shape_Maximum3DDiameter,96,-0.02889642980782786,0.7798798740025967,0.024824845547021152,0.8102654655847733,0.9730031811318856,0.9638296846025831
Right_Thalamus,Right_Thalamus_original_firstorder_Maximum_delta,original_firstorder_Maximum,96,-0.017254283944159277,0.867484449298526,-0.061550121719580506,0.5513549761117806,0.9730031811318856,0.9638296846025831
Right_Thalamus,Right_Thalamus_original_firstorder_Minimum_delta,original_firstorder_Minimum,96,0.01792526167589276,0.8623808762124979,0.012726447164407698,0.9020558207062319,0.9730031811318856,0.9638296846025831
Right_Thalamus,Right_Thalamus_original_firstorder_Range_delta,original_firstorder_Range,96,-0.020527589777861947,0.8426423852892984,-0.08442509120837362,0.4134604164057407,0.9730031811318856,0.9638296846025831
Right_Thalamus,Right_Thalamus_original_firstorder_Variance_delta,original_firstorder_Variance,96,0.028248472283758312,0.7846946804290159,0.027152614350438718,0.7928561113318856,0.9730031811318856,0.9638296846025831
Right_Thalamus,Right_Thalamus_original_shape_Maximum2DDiameterColumn_delta,original_shape_Maximum2DDiameterColumn,96,0.015480662944440182,0.8810005710820487,0.06139083240404378,0.552387511781405,0.9730031811318856,0.9638296846025831
Right_Thalamus,Right_Thalamus_original_shape_Maximum2DDiameterRow_delta,original_shape_Maximum2DDiameterRow,96,-0.027355418116488957,0.7913440115189816,-0.014322319988777478,0.8898465794992996,0.9730031811318856,0.9638296846025831
Right_Thalamus,Right_Thalamus_original_shape_Maximum2DDiameterSlice_delta,original_shape_Maximum2DDiameterSlice,96,-0.028401669294363927,0.7835555731813778,-0.027179337305120288,0.7926568216707932,0.9730031811318856,0.9638296846025831
Right_Thalamus,Right_Thalamus_original_shape_Maximum3DDiameter_delta,original_shape_Maximum3DDiameter,96,0.03356230675242561,0.7454642154162734,-0.0704310683521644,0.49530945663211323,0.9730031811318856,0.9638296846025831
Left_Hippocampus,Left_Hippocampus_original_firstorder_InterquartileRange_delta,original_firstorder_InterquartileRange,96,-0.0057897539981286855,0.9553536558749693,0.014089618711210833,0.8916253322466974,0.9730031811318856,0.988047999763304
Left_Hippocampus,Left_Hippocampus_original_shape_MajorAxisLength_delta,original_shape_MajorAxisLength,96,-0.005399996473929438,0.958356396832267,0.013558725839846113,0.8956854364093003,0.9730031811318856,0.988047999763304
Left_Thalamus,Left_Thalamus_original_firstorder_Skewness_delta,original_firstorder_Skewness,96,0.009296683453903547,0.9283688764050737,0.00942359576005902,0.9273936570163284,0.9730031811318856,0.988047999763304
Left_Thalamus,Left_Thalamus_original_shape_Maximum2DDiameterColumn_delta,original_shape_Maximum2DDiameterColumn,96,0.007108775969354261,0.9451966156628049,-0.039784101370582046,0.7003491520824778,0.9730031811318856,0.988047999763304
Right_Hippocampus,Right_Hippocampus_original_shape_MinorAxisLength_delta,original_shape_MinorAxisLength,96,0.004166613605262777,0.9678621660110893,0.025591391769294612,0.8045218198550284,0.9730031811318856,0.988047999763304
Right_Thalamus,Right_Thalamus_original_firstorder_Mean_delta,original_firstorder_Mean,96,-0.005197640571576793,0.9599156041094273,-0.011554453607296249,0.9110368729102674,0.9730031811318856,0.988047999763304
