dose_group,representative_dose_xtc,dose_xtc_c,time_slope,SE,z,p
Zero dose,0.0,-0.6754292731776167,0.006025327183164925,0.0895349342371227,0.06729582407697488,0.9463462012584261
Low non-zero dose,0.6931471805599453,0.01771790738232859,-0.13818112833652044,0.07261659779965836,-1.902886289409314,0.05705538438189839
High non-zero dose,1.8317808230648231,1.1563515498872063,-0.3750692328058376,0.11542425119003116,-3.2494837864560577,0.0011561466871021775
