comparison,group1,group2,slope_difference,SE,z,p
Zero vs Low non-zero,Zero dose,Low non-zero dose,-0.14420645551968536,0.053780333232865955,-2.681397582556418,0.007331535268301437
Low non-zero vs High non-zero,Low non-zero dose,High non-zero dose,-0.23688810446931718,0.08834501306720445,-2.6813975825564182,0.007331535268301437
Zero vs High non-zero,Zero dose,High non-zero dose,-0.38109455998900255,0.14212534630007043,-2.681397582556418,0.007331535268301437
