subject_id,cohort,session,have_tp1,have_tp2,have_tp3,failed_QC,missing_demographics
I139,I,tp2,yes,yes,yes,,
I139,I,tp3,yes,yes,yes,,
I140,I,tp1,yes,no,no,,
I142,I,tp1,yes,no,no,,
I144,I,tp1,yes,no,no,,
I145,I,tp1,yes,no,no,,
I146,I,tp1,yes,no,yes,,
I146,I,tp3,yes,no,yes,,
I148,I,tp1,yes,yes,yes,,
I148,I,tp2,yes,yes,yes,,
I148,I,tp3,yes,yes,yes,,
I150,I,tp1,yes,no,yes,,
I150,I,tp3,yes,no,yes,,
I152,I,tp1,yes,no,no,,
I153,I,tp1,yes,no,no,,
I154,I,tp1,yes,no,no,,
I155,I,tp1,yes,no,yes,,
I155,I,tp3,yes,no,yes,,
I157,I,tp1,yes,no,yes,,
I157,I,tp3,yes,no,yes,,
I159,I,tp1,yes,no,yes,,
I159,I,tp3,yes,no,yes,,
I160,I,tp1,yes,no,yes,,
I160,I,tp3,yes,no,yes,,
I162,I,tp1,yes,no,yes,yes,
I162,I,tp3,yes,no,yes,yes,
I163,I,tp1,yes,no,yes,,
I163,I,tp3,yes,no,yes,,
I164,I,tp1,yes,no,yes,,
I164,I,tp3,yes,no,yes,,
I165,I,tp1,yes,no,no,,
I166,I,tp1,yes,yes,yes,,
I166,I,tp2,yes,yes,yes,,
I166,I,tp3,yes,yes,yes,yes,
I167,I,tp1,yes,no,yes,,
I167,I,tp3,yes,no,yes,,
I169,I,tp1,yes,no,no,yes,
I170,I,tp1,yes,no,yes,yes,
I170,I,tp3,yes,no,yes,yes,
I174,I,tp1,yes,no,no,,
I175,I,tp1,yes,no,yes,,
I175,I,tp3,yes,no,yes,,
I176,I,tp1,yes,no,yes,,
I176,I,tp3,yes,no,yes,,
I177,I,,no,no,no,,
I178,I,tp1,yes,no,yes,,
I178,I,tp3,yes,no,yes,,
I179,I,tp1,yes,yes,yes,,
I179,I,tp2,yes,yes,yes,,
I179,I,tp3,yes,yes,yes,,
I180,I,tp1,yes,yes,yes,,
I180,I,tp2,yes,yes,yes,,
