structure,n_rows,n_subjects,estimate_session3_minus_session1,ci_low,ci_high,t_value,p_value
Hippocampus,191,96,0.15274986375290314,0.02197841698837122,0.28352131051743507,2.289370034562392,0.022057861669190684
Thalamus,191,96,-0.12186991273719366,-0.2607946355133587,0.01705481003897133,-1.7193530063672695,0.08555011363018655
