component,explained_variance_ratio,cumulative_explained_variance_ratio
PC1,0.3819317377922252,0.3819317377922252
PC2,0.07288549877665876,0.45481723656888395
PC3,0.06429187901872994,0.5191091155876139
PC4,0.04215761040203799,0.5612667259896519
PC5,0.02298255166689642,0.5842492776565483
