roi,n_rows,n_subjects,estimate_session3_minus_session1,ci_low,ci_high,t_value,p_value
Left_Hippocampus,191,96,0.0593186215934654,-0.05526711390780111,0.1739043570947319,1.0146320694033255,0.31028124646663435
Right_Hippocampus,191,96,0.1515503690055835,0.03487279855447131,0.26822793945669565,2.5457614856589394,0.010903966374648914
Left_Thalamus,191,96,-0.15299377692214494,-0.2826948908092674,-0.023292663035022476,-2.3119484763031903,0.020780522841681318
Right_Thalamus,191,96,-0.01356785990636263,-0.12173057369575806,0.0945948538830328,-0.2458565972700562,0.8057932430522974
