fold,feature_rank_in_fold,feature_index,feature_name
5,0,224,Left_Hippocampus_original_shape_Maximum2DDiameterSlice_delta
5,1,228,Left_Hippocampus_original_shape_Maximum3DDiameter_delta
5,2,231,Right_Thalamus_original_shape_Maximum3DDiameter_delta
5,3,236,Left_Hippocampus_original_shape_MinorAxisLength_delta
5,4,239,Right_Thalamus_original_shape_MinorAxisLength_delta
5,5,240,Left_Hippocampus_original_shape_Sphericity_delta
5,6,243,Right_Thalamus_original_shape_Sphericity_delta
5,7,244,Left_Hippocampus_original_shape_SurfaceArea_delta
5,8,251,Right_Thalamus_original_shape_SurfaceVolumeRatio_delta
5,9,257,age
