fold,feature_rank_in_fold,feature_index,feature_name
2,0,218,Right_Hippocampus_original_shape_Maximum2DDiameterColumn_delta
2,1,220,Left_Hippocampus_original_shape_Maximum2DDiameterRow_delta
2,2,228,Left_Hippocampus_original_shape_Maximum3DDiameter_delta
2,3,229,Left_Thalamus_original_shape_Maximum3DDiameter_delta
2,4,234,Right_Hippocampus_original_shape_MeshVolume_delta
2,5,238,Right_Hippocampus_original_shape_MinorAxisLength_delta
2,6,239,Right_Thalamus_original_shape_MinorAxisLength_delta
2,7,241,Left_Thalamus_original_shape_Sphericity_delta
2,8,243,Right_Thalamus_original_shape_Sphericity_delta
2,9,251,Right_Thalamus_original_shape_SurfaceVolumeRatio_delta
