Metric,Value
Average R2,-0.18424513339996337
Average RMSE,1.589088374241652
Overall R2 pooled,-0.08139945273233495
Overall RMSE pooled,1.6082999219338154
Pearson r,-0.05576553848319774
Pearson p,0.5894375619226064
