analysis,roi,volume_pre_col,volume_delta_col,n,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_q_fdr,spearman_q_fdr
firstorder_only,Left_Thalamus,Left_Thalamus_original_shape_MeshVolume_pre,Left_Thalamus_original_shape_MeshVolume_delta,96,0.35653358003776736,0.0003632115364794933,0.3359468258274552,0.000819013331245204,0.0014528461459179733,0.003276053324980816
firstorder_only,Left_Hippocampus,Left_Hippocampus_original_shape_MeshVolume_pre,Left_Hippocampus_original_shape_MeshVolume_delta,96,0.3021335475396504,0.0027737104567772653,0.19135919696147582,0.06180836371259207,0.005547420913554531,0.12361672742518413
firstorder_only,Right_Thalamus,Right_Thalamus_original_shape_MeshVolume_pre,Right_Thalamus_original_shape_MeshVolume_delta,96,0.22020335685297207,0.031097951504706466,0.15176342919153554,0.1399284220509211,0.04146393533960862,0.18657122940122814
firstorder_only,Right_Hippocampus,Right_Hippocampus_original_shape_MeshVolume_pre,Right_Hippocampus_original_shape_MeshVolume_delta,96,0.14323560070042532,0.16385496801803132,0.12369777536625068,0.22985711196786085,0.16385496801803132,0.22985711196786085
