feature,PC1,PC2,PC3,PC4,PC5
Left_Hippocampus_original_firstorder_90Percentile,0.05729833479954496,0.14784420712995902,0.07893796311885366,-0.048139422946994685,-0.12275136671851644
Left_Hippocampus_original_firstorder_Energy,0.15740235175492467,0.032911418925347324,0.05548914971912022,-0.08369335430340366,0.028947685601252965
Left_Hippocampus_original_firstorder_Entropy,0.03778441769740559,0.18957144598586353,-0.06304047574030522,0.02344443953751109,-0.152215449655154
Left_Hippocampus_original_firstorder_InterquartileRange,0.057840746927274145,0.15410762116889798,-0.05557472414088806,-0.0043445168939657275,-0.172131926491412
Left_Hippocampus_original_firstorder_Kurtosis,-0.001902383846316677,0.0032011369035779835,0.15024050767068464,-0.06070431878051344,0.09784765661494205
Left_Hippocampus_original_firstorder_Maximum,0.025130315335078347,0.1388463316641414,0.11693736853663073,-0.0455370229572076,-0.03546782810232538
Left_Hippocampus_original_firstorder_Mean,0.03983803337742349,0.022768499266705707,0.18271143658136668,-0.10911929045292885,0.0048269372599493154
Left_Hippocampus_original_firstorder_MeanAbsoluteDeviation,0.04148165933365581,0.19079234999373226,-0.011183445479295201,0.014447384764318949,-0.15199773495765845
Left_Hippocampus_original_firstorder_Median,0.025222582918681815,0.002960218867233267,0.16484245693959892,-0.09824845844433427,0.018648013172959207
Left_Hippocampus_original_firstorder_Minimum,-0.013683949423904917,-0.0804095125685575,0.0773948511223348,-0.05018039863642487,0.016773248623442483
Left_Hippocampus_original_firstorder_Range,0.026801882838788715,0.14931450521784595,0.088525331115367,-0.029331429497673006,-0.03717547138464039
Left_Hippocampus_original_firstorder_RobustMeanAbsoluteDeviation,0.058436832463580446,0.16448414696701733,-0.05614482867172483,0.00869791375212104,-0.16887915396489706
Left_Hippocampus_original_firstorder_RootMeanSquared,0.04436295505259553,0.07047776116846555,0.17383465487446204,-0.0949632142844629,-0.02811134672559904
Left_Hippocampus_original_firstorder_Skewness,0.021420538051828218,0.03390440780458524,0.16483678774956873,-0.10200422507905002,0.05384696489366684
Left_Hippocampus_original_firstorder_TotalEnergy,0.15740235175492479,0.03291141892534727,0.05548914971912023,-0.08369335430340376,0.028947685601253048
Left_Hippocampus_original_firstorder_Uniformity,-0.03814344048183304,-0.16726336574863554,0.10229087443933173,-0.028082505487386656,0.156660938277589
Left_Hippocampus_original_firstorder_Variance,0.0271933204603272,0.18821286638258902,0.00989560803249748,0.02753130692797964,-0.12405523985217201
Left_Hippocampus_original_shape_Elongation,0.030687976604299824,0.0760383560253697,-0.033130621703636086,0.07101195421441983,0.21000146827899102
Left_Hippocampus_original_shape_Flatness,0.018011481691064146,0.11442238173380476,-0.033436745267629416,0.1633956040467581,0.11208583751175578
Left_Hippocampus_original_shape_LeastAxisLength,0.10739511487249624,0.052685028630580256,-0.03451651105160302,0.07538346867006729,0.03649010571460307
Left_Hippocampus_original_shape_MajorAxisLength,0.08092808612594346,-0.10183868978444724,0.00855204085088006,-0.14455144828026753,-0.12436530409155482
Left_Hippocampus_original_shape_Maximum2DDiameterColumn,0.0673181503845676,0.048894614778787954,-0.09791675080637416,-0.04998954478263884,-0.0006693525421137132
Left_Hippocampus_original_shape_Maximum2DDiameterRow,0.09655446048787976,-0.10357112080310295,0.016137193232344426,-0.13663891862067423,-0.10326506713820034
