term,beta,p_value,std_error,z_value
Intercept,0.8164269920120568,0.17005707693707173,0.5950545430858138,1.3720204332501307
C(sex)[T.2],-1.3951042731353742,0.10064926267590776,0.8497851426303129,-1.6417141264874935
time,-0.04684070509125112,0.7415818948888433,0.14204516725641858,-0.3297592307853369
dose_xtc_c,-0.26510224084174816,0.4822345638767386,0.3772553007644616,-0.7027130972170595
time:dose_xtc_c,-0.0900974209329633,0.552844401837931,0.1518061095664443,-0.5935032601143657
age_c,-0.11852889367065317,0.40222885052436586,0.1415021590932763,-0.8376472446086178
BrainSegVol_c,3.204632912725603e-05,1.4064964155088417e-17,3.754874903243161e-06,8.534593016554819
Group Var,10.970796349165024,3.1425402678866784e-06,2.3536033699516063,4.661276614925394
