component,explained_variance_ratio,cumulative_explained_variance_ratio
PC1,0.22036924156303225,0.22036924156303225
PC2,0.1285016040024998,0.34887084556553205
PC3,0.09402990670275069,0.44290075226828274
PC4,0.07704638607721523,0.519947138345498
PC5,0.06232052888017736,0.5822676672256754
