dose_level,dose_xtc,dose_xtc_c,time_slope,SE,z,p
Low dose (-1 SD),-0.2627441163845211,-0.9381733895621377,0.06068817339405955,0.10280244238527815,0.5903378556573128,0.5549641647334362
Mean dose,0.6754292731776166,0.0,-0.13449498967147144,0.07260338616648607,-1.8524616656730362,0.06395955736092329
High dose (+1 SD),1.6136026627397544,0.9381733895621378,-0.32967815273700246,0.10281726049007571,-3.2064475474798724,0.0013438480194469804
