comparison,slope_difference,SE,z,p
Low vs Mean,-0.195183163065531,0.07279157866601986,-2.6813975825564182,0.007331535268301437
Mean vs High,-0.195183163065531,0.07279157866601986,-2.6813975825564182,0.007331535268301437
Low vs High,-0.390366326131062,0.14558315733203972,-2.6813975825564182,0.007331535268301437
