component,explained_variance_ratio,cumulative_explained_variance_ratio
PC1,0.3638669361346373,0.3638669361346373
PC2,0.08748272545420019,0.4513496615888375
PC3,0.06637597720875335,0.5177256387975908
PC4,0.036593926838348625,0.5543195656359394
PC5,0.02950320432687589,0.5838227699628153
