term,beta,p_value,std_error,t_value
Intercept,1.0394394917318053,0.2566078199521329,0.9059804956835202,1.147308906410393
C(sex)[T.2],0.36583017392985606,0.0722819242344348,0.1993199412119996,1.8353917410639498
vwrec,-0.0841430058339822,0.21203614295805576,0.06657760423620056,-1.2638334887429115
age_c,0.062289807374943815,0.12135084616918901,0.03953937832270255,1.5753866149984082
BrainSegVol_delta_c,6.353916286479197e-05,6.278754193232435e-27,3.000119456493248e-06,21.178877636779514
