term,beta,p_value,std_error,z_value
Intercept,0.7765885337793271,0.019204209575177506,0.331656735606878,2.341543078744643
C(sex)[T.2],-1.3541443092776364,0.00649926922280861,0.49757864039875277,-2.7214679235275123
time,-0.19903275828103034,0.04693246056031849,0.1001720455324029,-1.986909194308593
age_c,-0.06978946316322293,0.4212687377366271,0.08677884652284773,-0.8042220651647897
BrainSegVol_c,6.267592173351028e-05,1.0136211163989972e-229,1.9368516779394146e-06,32.35969096001723
Group Var,8.857695656196668,0.000427063151861152,2.5144127404511574,3.522769159452853
