component,explained_variance_ratio,cumulative_explained_variance_ratio
PC1,0.3823963404731299,0.3823963404731299
PC2,0.07266699559407627,0.45506333606720617
PC3,0.06465625670013363,0.5197195927673398
PC4,0.0422102519846934,0.5619298447520332
PC5,0.02306515962358004,0.5849950043756132
