cohort,id,vwrec,PC1_pre,PC1_post,PC1_delta,structure
1,12,12,1.5777439474996324,-0.48626307068004265,-2.0640070181796752,Hippocampus
1,19,15,-4.196882384898565,-5.577615508545346,-1.380733123646781,Hippocampus
1,20,12,-0.6982558046321373,0.7987668685140576,1.497022673146195,Hippocampus
1,30,13,-4.114106857025595,-3.350446077723521,0.7636607793020738,Hippocampus
1,32,14,-8.737444202129641,-1.106219939317449,7.631224262812192,Hippocampus
1,41,11,-2.848395361212,-1.1132469799244447,1.7351483812875552,Hippocampus
1,43,13,-3.9577126752745673,0.16808125959657114,4.1257939348711385,Hippocampus
1,44,15,-0.9485375503330606,-1.1273409938142416,-0.17880344348118093,Hippocampus
1,45,9,3.369403873793679,0.9240760757638576,-2.445327798029821,Hippocampus
1,47,13,-3.0812175875828034,-5.975126192193042,-2.893908604610239,Hippocampus
1,48,12,-4.638673531764118,-0.9773704115904971,3.6613031201736206,Hippocampus
1,50,12,-2.9577812857784793,-0.938234324253009,2.0195469615254704,Hippocampus
1,60,9,6.070851549675154,5.759531348891761,-0.31132020078339284,Hippocampus
1,66,10,4.06040934463331,0.8649254017023956,-3.1954839429309145,Hippocampus
1,68,14,-1.4024547046253126,-1.7818755484620998,-0.3794208438367872,Hippocampus
1,69,14,0.15676739666173145,-1.0493463631101787,-1.20611375977191,Hippocampus
1,80,13,-0.3418233418834671,-3.3536962359000295,-3.0118728940165624,Hippocampus
1,83,14,-0.555376200344082,2.429103867493518,2.9844800678376,Hippocampus
1,84,15,-3.974870136402973,2.394715555854733,6.369585692257706,Hippocampus
1,85,11,-0.30635455383062526,-1.1707664775737454,-0.8644119237431201,Hippocampus
1,89,14,-1.0836225497786962,0.2839248091396385,1.3675473589183347,Hippocampus
1,91,14,-0.7033694495901054,3.378368622404956,4.081738071995061,Hippocampus
1,95,12,6.819568481227562,1.9197167044864225,-4.89985177674114,Hippocampus
1,96,14,-0.02753661445334494,0.3453512047844868,0.3728878192378317,Hippocampus
1,97,14,11.783087863662528,9.750968053330372,-2.0321198103321567,Hippocampus
1,100,14,0.38306644213642754,-0.4013039705387047,-0.7843704126751323,Hippocampus
1,103,12,-1.1154228110685784,-0.5914661592765013,0.5239566517920772,Hippocampus
1,106,15,3.4456426259671136,5.498869513286997,2.0532268873198833,Hippocampus
1,107,14,-1.4097845421517292,-3.984318051770281,-2.5745335096185515,Hippocampus
